599,8-54,6
2243,8-19,1
2270,8-57,1
2271,8-99,1
2279,8-79,2
2283,8-59,2
2358,8-56,4
2395,8-72,2
2405,8-33,2
2409,8-62,2
2461,8-50,1
2478,8-47,2
2549,8-62,1
2579,8-68,7
2608,8-41,1
2726,8-74,4
2743,8-61,1
2747,8-57,2
2786,8-30,1
3490,8-52,1
3546,8-48,1
3638,8-30,1
3747,8-54,1
3961,8-53,6
4387,8-47,1
4882,8-54,4
5468,8-64,1
5844,8-61,6
6593,8-26,1
6739,8-39,3
7806,8-31,2
8120,8-64,4
8694,8-60,1
9123,8-15,3
10008,8-42,4
10244,8-28,2
10420,8-23,1
10827,8-47,2
10971,8-6,2
11357,8-40,1
11706,8-23,1
11846,8-54,4
12820,8-47,2
13309,8-75,4
13536,8-114,6
13698,8-5,1
13707,8-43,2
13992,8-28,1
14076,8-29,2
14241,8-49,2
14332,8-34,2
14367,8-30,1
14525,8-69,4
15314,8-45,2
15622,8-14,1
16111,8-44,1
16284,8-42,2
16592,8-8,1
16670,8-8,1
16877,8-51,1
16997,8-47,1
17955,8-45,3
18138,8-9,1
18318,8-6,1
18389,8-32,1
18556,8-21,1
18795,8-42,2
18823,8-41,2
19469,8-5,2
19801,8-40,1
19913,8-78,4
20246,8-43,2
20255,8-18,4
20337,8-5,1
20639,8-45,2
20778,8-46,2
20824,8-41,3
21040,8-50,3
21255,8-12,1
21350,8-29,2
21383,8-43,3
21549,8-28,3
21743,8-51,2
22639,8-44,1
22897,8-54,2
23692,8-44,2
24065,8-20,1
24154,8-26,1
24759,8-60,4
25187,8-60,1
25577,8-31,1
25665,8-31,6
26033,8-32,2
26384,8-43,3
26479,8-37,2
26559,8-51,1
26689,8-9,1
27236,8-58,4
27487,8-15,1
27489,8-5,1
27592,8-42,2
27643,8-40,1
28062,8-44,3
28582,8-44,2
28722,8-5,2
28776,8-45,3
28796,8-38,4
28872,8-5,3
30753,8-34,1
30928,8-8,2
31049,8-59,5
31310,8-39,2
32414,8-54,4
32431,8-45,4
33559,8-53,1
34285,8-16,1
34634,8-31,1
34756,8-5,1
34793,8-49,1
35002,8-46,2
35260,8-38,1
35301,8-66,1
36068,8-43,2
36997,8-47,3
37119,8-29,1
37162,8-29,1
37225,8-17,1
37308,8-41,1
37417,8-42,1
38063,8-5,1
38148,8-49,1
38211,8-8,1
38317,8-42,1
38828,8-24,1
38984,8-48,1
39487,8-45,1
39573,8-32,1
39718,8-73,3
40154,8-59,4
40162,8-48,1
40190,8-11,1
40361,8-37,6
40695,8-62,3
40751,8-9,1
40781,8-49,2
41306,8-76,2
41597,8-46,4
41786,8-18,2
42992,8-6,2
43014,8-5,1
43051,8-31,1
43153,8-60,1
43217,8-52,4
43303,8-44,1
43320,8-55,4
43347,8-58,2
43356,8-51,1
43426,8-59,1
43575,8-105,8
43686,8-63,4
43806,8-36,6
43873,8-50,7
43983,8-30,1
44053,8-20,1
44104,8-54,2
44263,8-47,1
44271,8-52,1
44485,8-53,2
44562,8-45,1
44689,8-53,2
45157,8-66,5
45345,8-28,5
46066,8-47,1
46099,8-5,1
46508,8-45,5
46881,8-34,1
47225,8-31,1
47404,8-6,2
47560,8-29,1
47860,8-47,2
48062,8-61,1
48546,8-9,2
48627,8-55,5
48779,8-68,1
48827,8-39,3
48908,8-62,1
49417,8-7,1
49459,8-32,1
49482,8-48,1
49549,8-42,1
49752,8-52,4
49812,8-59,3
50067,8-19,1
50265,8-57,4
50587,8-5,1
50704,8-48,4
50816,8-19,3
51018,8-48,1
51035,8-66,5
51189,8-44,1
51259,8-55,1
51289,8-18,2
51486,8-49,1
51616,8-47,5
52072,8-46,2
52156,8-34,1
52488,8-52,1
52843,8-99,2
53021,8-35,1
53225,8-47,1
53235,8-41,1
53553,8-30,1
53802,8-48,2
54057,8-51,2
54075,8-6,1
54249,8-27,1
54306,8-22,1
54620,8-27,6
55414,8-12,1
55940,8-61,1
56238,8-33,1
56342,8-28,3
56788,8-40,1
57191,8-31,1
57417,8-98,2
57485,8-5,1
57748,8-49,4
57871,8-74,1
58013,8-46,1
58014,8-68,1
58017,8-48,1
58665,8-30,1
58850,8-47,2
59253,8-48,1
59315,8-39,3
59813,8-56,1
59880,8-21,2
59890,8-34,1
60034,8-22,1
60909,8-33,3
61752,8-9,2
61787,8-49,3
61830,8-144,9
61840,8-5,1
62273,8-47,1
62579,8-50,1
62690,8-43,1
62809,8-42,1
63193,8-52,1
63207,8-35,1
63327,8-78,7
63358,8-45,2
63364,8-47,1
63375,8-41,4
63660,8-70,1
63713,8-53,2
63880,8-35,3
64278,8-42,1
64315,8-32,1
64789,8-20,1
65082,8-60,5
65333,8-10,1
65690,8-34,1
65752,8-41,1
65846,8-40,1
66416,8-42,1
67229,8-44,1
67478,8-57,5
67509,8-41,1
67913,8-32,2
71079,8-29,1
71104,8-46,1
71216,8-50,1
71492,8-27,1
71917,8-46,2
72071,8-8,1
72830,8-48,5
72946,8-35,3
73569,8-37,4
73843,8-38,1
73860,8-35,4
73886,8-45,2
74025,8-48,1
74362,8-50,1
74580,8-37,1
74899,8-16,1
75442,8-42,1
75465,8-55,1
75716,8-31,1
76371,8-40,1
76757,8-51,4
76774,8-31,2
77104,8-44,1
77180,8-54,2
77627,8-28,3
78265,8-32,1
78376,8-19,1
79332,8-44,1
79967,8-46,1
80366,8-8,2
80391,8-45,1
80957,8-43,4
81027,8-46,2
81211,8-37,1
81630,8-43,1
82525,8-51,3
82941,8-57,1
83099,8-28,3
83429,8-6,1
84339,8-48,4
85523,8-45,1
85817,8-58,1
86609,8-46,2
86682,8-45,2
86781,8-40,3
87164,8-5,2
87195,8-9,1
87301,8-62,2
87507,8-46,2
88518,8-38,1
89050,8-41,2
89302,8-40,1
89341,8-8,1
89384,8-52,4
89403,8-40,1
90289,8-44,1
90335,8-40,1
91517,8-35,1
92365,8-40,3
92534,8-50,1
93510,8-23,2
93545,8-39,3
93751,8-68,5
94218,8-17,1
94368,8-47,3
94511,8-6,1
94584,8-66,3
94705,8-52,1
95197,8-45,1
96458,8-29,1
97040,8-50,3
97530,8-35,3
97722,8-68,1
97723,8-26,1
98817,8-5,2
98904,8-48,2
99958,8-55,2
100398,8-44,1
101416,8-43,1
101430,8-45,1
101471,8-50,1
102075,8-43,3
102556,8-30,2
104245,8-34,2
104310,8-41,3
104462,8-5,3
105078,8-92,4
105303,8-63,3
105383,8-39,2
105541,8-46,2
106547,8-29,3
106880,8-39,1
107409,8-51,3
107543,8-44,2
107806,8-66,4
108118,8-8,2
108218,8-39,1
109002,8-36,3
109117,8-39,1
109214,8-14,1
109355,8-35,3
109789,8-42,4
110404,8-68,1
110413,8-41,2
110558,8-58,2
110631,8-44,1
110715,8-62,1
111223,8-46,2
111579,8-21,4
112248,8-50,2
113117,8-22,1
113257,8-44,1
113514,8-47,3
113625,8-5,2
113686,8-36,4
113989,8-48,1
114132,8-46,2
114597,8-54,4
114725,8-57,1
114733,8-30,3
115250,8-30,1
115420,8-63,5
115566,8-48,1
115608,8-30,2
116013,8-44,4
116179,8-56,5
116255,8-60,2
117240,8-39,1
117386,8-6,2
117477,8-6,1
117683,8-28,2
118363,8-5,2
118758,8-44,2
118774,8-104,7
119363,8-15,4
119655,8-34,1
120962,8-5,2
121369,8-41,1
121864,8-16,3
122110,8-57,1
122546,8-52,2
123128,8-9,1
123281,8-34,1
123896,8-5,2
124564,8-48,1
124775,8-19,1
124796,8-60,1
125206,8-28,3
126138,8-5,3
126154,8-37,3
128878,8-36,2
129225,8-9,1
129594,8-56,5
130111,8-41,3
130382,8-5,2
131899,8-49,1
132693,8-94,1
134123,8-67,1
134373,8-51,3
134461,8-5,3
135071,8-18,1
135080,8-6,1
135628,8-48,1
136195,8-53,4
136822,8-8,1
137002,8-33,4
137455,8-49,1
137665,8-49,4
137768,8-32,2
137973,8-54,1
138086,8-47,1
138470,8-8,1
138534,8-48,1
138647,8-14,3
138807,8-6,2
139047,8-5,1
139315,8-30,1
139686,8-50,1
139896,8-43,5
139917,8-34,1
140578,8-51,1
141142,8-44,1
141809,8-33,2
142409,8-49,3
142530,8-55,3
142631,8-6,1
142738,8-52,1
143486,8-46,2
143490,8-41,1
143652,8-70,1
144360,8-5,2
145787,8-40,1
146186,8-40,3
146453,8-5,2
147047,8-31,3
147170,8-64,1
147216,8-42,1
147360,8-42,4
147465,8-45,3
147604,8-6,2
147698,8-35,1
147859,8-27,1
147941,8-47,2
148952,8-80,1
149159,8-6,2
150055,8-24,1
150922,8-6,1
151266,8-37,2
151374,8-45,2
151467,8-15,1
151992,8-42,2
152288,8-53,3
152597,8-46,1
153548,8-15,1
153561,8-44,2
154553,8-15,3
155176,8-57,4
155276,8-56,1
155657,8-56,2
156196,8-49,1
158588,8-50,1
158678,8-28,1
159133,8-40,1
159313,8-45,4
159894,8-49,1
160623,8-51,1
160958,8-50,1
162156,8-55,1
162211,8-39,1
162974,8-45,2
163422,8-60,1
163627,8-37,2
163909,8-33,2
164770,8-55,1
164952,8-57,4
165249,8-46,1
165686,8-55,4
165827,8-18,1
166083,8-37,5
166398,8-30,4
166400,8-22,3
166405,8-35,1
166453,8-17,1
166481,8-24,1
166722,8-64,5
167847,8-50,1
169896,8-28,3
170147,8-63,3
170471,8-50,3
170979,8-29,1
171105,8-51,4
171285,8-5,1
171909,8-24,3
171995,8-43,1
172109,8-20,1
172361,8-50,4
172882,8-47,1
172913,8-47,1
173231,8-52,5
173552,8-43,2
173730,8-49,2
175142,8-39,1
175424,8-52,2
175908,8-28,3
175946,8-28,4
176302,8-37,1
176447,8-19,1
176711,8-7,1
177105,8-18,4
177202,8-25,1
177220,8-51,2
177371,8-50,3
177804,8-109,3
178001,8-49,1
179018,8-73,4
179175,8-45,1
179679,8-35,3
179912,8-29,2
180603,8-42,2
181553,8-46,2
181837,8-10,1
181857,8-49,1
182467,8-5,1
182531,8-5,1
182862,8-17,2
182878,8-29,1
183369,8-52,2
185102,8-57,1
185643,8-41,1
185737,8-50,1
187880,8-68,4
189103,8-6,1
189245,8-38,1
189617,8-38,1
190017,8-42,1
190143,8-43,1
190260,8-28,7
190459,8-66,2
191227,8-50,1
191869,8-56,1
192400,8-50,4
192837,8-13,1
193061,8-5,1
193147,8-27,1
193591,8-43,2
193727,8-34,1
193827,8-49,1
193862,8-6,1
194782,8-7,3
194956,8-5,1
195019,8-50,3
195049,8-48,1
195071,8-47,1
195362,8-46,3
196005,8-9,1
197088,8-47,1
197103,8-17,4
197289,8-5,2
197321,8-55,6
199350,8-47,1
199601,8-56,1
199678,8-75,3
200975,8-50,1
201731,8-27,3
201905,8-30,1
202823,8-67,1
202877,8-9,1
203279,8-31,1
203964,8-36,2
204304,8-54,1
204481,8-40,2
204923,8-8,1
205393,8-39,1
206121,8-43,4
206365,8-6,1
206740,8-106,4
208084,8-44,1
208140,8-39,1
208152,8-53,1
208256,8-39,1
208450,8-91,2
210324,8-52,1
210779,8-21,2
210884,8-7,2
211211,8-66,4
211595,8-61,1
212159,8-52,8
212926,8-59,4
213059,8-40,1
213081,8-44,2
213532,8-46,5
213560,8-57,4
213887,8-5,2
214076,8-34,2
215658,8-48,2
216866,8-54,1
216871,8-8,1
216965,8-42,2
217689,8-64,4
218393,8-9,1
218873,8-55,2
218994,8-56,1
219067,8-56,4
219410,8-38,2
219494,8-49,1
219702,8-8,1
220301,8-46,2
221284,8-42,1
222433,8-6,2
222566,8-43,2
222594,8-12,1
222927,8-30,3
223843,8-11,1
225413,8-55,3
225729,8-39,2
226006,8-34,4
226093,8-42,1
226375,8-44,2
226485,8-32,1
227156,8-27,1
227580,8-40,3
227915,8-6,2
227970,8-39,2
227987,8-5,1
228144,8-52,1
228780,8-5,1
229140,8-46,2
229354,8-6,2
229395,8-57,2
230953,8-45,1
231125,8-43,4
231723,8-6,1
231975,8-10,1
232374,8-41,3
232550,8-28,1
233573,8-48,1
234244,8-27,1
234276,8-23,1
234743,8-49,2
235773,8-20,6
236151,8-71,3
236987,8-47,4
237790,8-54,2
237804,8-49,2
237840,8-47,1
238109,8-30,1
238261,8-34,2
238414,8-42,2
239084,8-47,2
239361,8-49,1
240324,8-19,1
241270,8-14,3
241390,8-51,1
241503,8-5,3
242885,8-48,3
242908,8-6,1
243177,8-6,1
243511,8-47,2
244374,8-37,1
244924,8-46,3
245226,8-33,1
245531,8-18,2
246678,8-48,2
246929,8-6,2
246942,8-17,1
247319,8-45,4
247738,8-41,3
248081,8-59,1
248925,8-39,2
249063,8-50,1
249463,8-7,2
250985,8-46,1
251983,8-28,1
252028,8-5,1
253050,8-46,1
253126,8-42,1
253186,8-34,2
253476,8-28,1
253918,8-7,1
254034,8-49,2
254539,8-35,1
254815,8-5,1
255040,8-20,1
256015,8-39,11
256079,8-36,1
256255,8-45,3
256342,8-30,1
256752,8-9,1
258070,8-5,1
259269,8-40,1
259400,8-49,2
259469,8-6,2
260010,8-5,1
260076,8-34,6
260500,8-37,3
260585,8-34,2
261375,8-46,1
261700,8-8,1
261767,8-37,2
262525,8-39,1
263181,8-6,2
263964,8-44,1
264318,8-31,1
264414,8-5,2
265237,8-34,2
265589,8-49,1
266804,8-47,1
267336,8-9,1
267416,8-22,2
267869,8-43,1
268059,8-49,4
268230,8-53,1
269305,8-35,1
269513,8-40,1
269875,8-28,1
270894,8-46,1
271524,8-40,1
271791,8-53,2
272061,8-26,3
272259,8-28,2
272368,8-43,1
275260,8-26,1
276187,8-5,2
276250,8-5,1
276561,8-5,3
277093,8-29,1
277607,8-5,2
278418,8-44,1
278446,8-50,1
278855,8-31,2
279106,8-64,5
279174,8-51,1
280373,8-10,1
280393,8-59,3
282921,8-46,3
283426,8-43,1
283959,8-5,2
284331,8-45,1
284399,8-64,1
285336,8-5,1
285652,8-10,1
285880,8-39,1
287010,8-57,2
288695,8-18,2
288948,8-55,1
289240,8-32,1
289505,8-60,4
290690,8-42,1
290743,8-11,2
290790,8-6,2
290861,8-5,1
292042,8-36,1
292062,8-62,1
292113,8-37,6
292156,8-41,1
292402,8-51,6
293588,8-55,2
294015,8-40,1
294386,8-39,2
294573,8-17,1
294599,8-6,1
295118,8-48,2
298081,8-44,3
298144,8-28,1
298601,8-53,1
299483,8-73,2
299484,8-47,1
299654,8-51,2
300512,8-17,4
300784,8-34,1
301293,8-34,2
301353,8-35,1
301563,8-43,2
301627,8-44,1
301630,8-8,1
302620,8-52,5
303236,8-19,1
303487,8-126,9
304294,8-41,1
304638,8-46,2
305517,8-28,2
306086,8-31,2
306821,8-30,1
307443,8-48,1
307732,8-48,1
307735,8-48,4
307758,8-6,1
308374,8-31,2
308736,8-34,2
308769,8-44,3
308955,8-47,1
309356,8-49,2
309410,8-40,1
309658,8-23,1
309825,8-42,1
